population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,50,0.1,0.1,0.1,0.1,8,42,9.0454,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,50,0.1,0.1,0.1,0.1,8,43,9.0914,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,50,0.1,0.1,0.1,0.1,8,44,8.993,0.5599,0.5421,3.18,0.5227,578.4965,1892.5557,3,3
10,50,0.1,0.1,0.1,0.1,8,45,9.0354,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.1,0.1,0.1,0.1,8,46,9.1582,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,50,0.1,0.1,0.1,0.1,12,42,11.9737,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
10,50,0.1,0.1,0.1,0.1,12,43,12.3537,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.1,0.1,0.1,0.1,12,44,12.2134,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,50,0.1,0.1,0.1,0.1,12,45,13.2284,0.5599,0.5418,3.23,0.5226,577.7833,1894.3584,3,3
10,50,0.1,0.1,0.1,0.1,12,46,12.5172,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
20,10,0.01,0.01,0.01,0.01,5,42,10.0544,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.01,0.01,0.01,0.01,5,43,9.9467,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,5,44,10.2067,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.01,0.01,0.01,0.01,5,45,9.9912,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,5,46,10.099,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,8,42,13.9261,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,8,43,13.73,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,8,44,13.9361,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.01,0.01,0.01,0.01,8,45,13.7871,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,10,0.01,0.01,0.01,0.01,8,46,14.0106,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,12,42,15.2198,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,12,43,15.7064,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,10,0.01,0.01,0.01,0.01,12,44,15.1656,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,12,45,15.4253,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.01,0.01,0.01,0.01,12,46,15.2763,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.05,0.05,0.05,0.05,5,42,9.9463,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.05,0.05,0.05,0.05,5,43,9.9038,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
